Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0793997913558526,0.0237223101327347,-0.016690080557761,0,0,0,1.1873044382466,0.00187874536986034,-1.05938471252743E-10,6.11069944212784E-07,0.00846326402384722,3.27848071160487E-05,0.00944131657661505,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/base_link.STL,0.898039215686275,0.917647058823529,0.929411764705882,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/base_link.STL,,底盘纵梁铝方管590-2;悬挂横梁铝方管135A-2;底盘纵梁铝方管230-1;悬挂横梁铝方管135A-4;底盘横梁铝方管285(机械臂侧）-2;底盘纵梁铝方管230-2;悬挂横梁铝方管135B-1;悬挂横梁铝方管135B-2;底盘横梁铝方管285（后侧）-1;底盘悬挂铝管190-1;底盘悬挂铝管190-2;底盘纵梁铝方管590-1;保险杠铝方管155-2;保险杠铝方管200-2;保险杠铝方管155-3;保险杠铝方管200-3;保险杠铝方管155-4;保险杠铝方管200-4;保险杠铝方管155-1;保险杠铝方管200-1;小装甲板模块-3/复件 小装甲板（12^小装甲板模块-1;小装甲板模块-4/复件 小装甲板（12^小装甲板模块-1;小装甲板模块-2/复件 小装甲板（12^小装甲板模块-1,base_link_co,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
fl_link,-0.194170912592627,-0.140118784988678,-0.261571440837985,0,0,0,22.695221395266,0.98391502075028,-0.0809615366068628,0.000183559767597875,1.10398313606438,0.00252664626952337,0.883706649266009,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/fl_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/fl_link.STL,,,fl_link_co,fl_axis,fl_joint,revolute,0.10768,0.26225,-0.097523,-1.5708,0,0,base_link,0,0,-1,0,0,-3.15,3.15,,,,,,,,
fr_link,-0.194267831701842,0.140086788980965,-0.262428559162045,0,0,0,22.695221395266,0.98391502075028,0.0809615366068628,-0.000183559767594333,1.10398313606438,0.00252664626952852,0.883706649266008,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/fr_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/fr_link.STL,,,fr_link_co,fr_axis,fr_joint,revolute,0.10778,-0.26175,-0.097491,1.5708,0,0,base_link,0,0,-1,0,0,-3.15,3.15,,,,,,,,
rl_link,0.179825729773003,-0.140086788980964,-0.261571440837982,0,0,0,22.695221395266,0.98391502075028,-0.0809615366068629,0.0001835597675973,1.10398313606438,0.0025266462695252,0.883706649266008,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/rl_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/rl_link.STL,,,rl_link_co,rl_axis,rl_joint,revolute,-0.26632,0.26225,-0.097491,-1.5708,0,0,base_link,0,0,-1,0,0,-3.15,3.15,,,,,,,,
rr_link,0.179728810663784,0.140118784988609,-0.26242855916204,0,0,0,22.695221395266,0.98391502075028,0.0809615366068628,-0.000183559767594528,1.10398313606438,0.0025266462695283,0.883706649266008,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/rr_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/rr_link.STL,,,rr_link_co,rr_axis,rr_joint,revolute,-0.26622,-0.26175,-0.097523,1.5708,0,0,base_link,0,0,-1,0,0,-3.15,3.15,,,,,,,,
left_j0_link,-0.00058715,-0.013969,0.038676,0,0,0,1.4882,0.0037642,5.06E-06,6.52E-06,0.0033606,-0.00049442,0.0024962,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_j0_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_j0_link.STL,,机械臂总装B-1/机械臂底座后加固打印件2-2;机械臂总装B-1/J1底座板-1;机械臂总装B-1/J1铝管链接板-1;机械臂总装B-1/J1电机连接板-1;机械臂总装B-1/机械臂底座后加固打印件2-1,left_j0_link_co,left_j0_axis,left_j0,revolute,-0.01677,0.0975,0.033,0,0,0,base_link,0,0,-1,0,0,-3.15,3.15,,,,,,,,
left_j1_link,-0.24417727,0.11078899,-0.07575176,0,0,0,0.62272366,0.00215174,-0.00409057,-0.00033213,0.00929737,0.00015104,0.01117309,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_j1_link.STL,0.89804,0.91765,0.92941,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_j1_link.STL,,机械臂总装B-1/大臂铝方管40x60x1.2-1;机械臂总装B-1/J1电机输出&铝管补强板件2-1;机械臂总装B-1/J1电机输出&铝管补强板件-1;机械臂总装B-1/J2电机保护壳-1,left_j1_link_co,left_j1_axis,left_j1,revolute,0,-0.055,0.06,1.5708,0,0,left_j0_link,0,0,-1,0,0,-3.15,3.15,,,,,,,,
left_j2_link,0.08485695,-0.00031072,-0.03600463,0,0,0,0.79672441,0.00068031,2.97E-06,-3.902E-05,0.00266679,5.3E-07,0.00265132,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_j2_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_j2_link.STL,,机械臂总装B-1/J2碳板（悬空侧）-1;机械臂总装B-1/J3后侧加固板-1;机械臂总装B-1/J3上保护板-3;机械臂总装B-1/J3上保护板-1;机械臂总装B-1/J2碳板(电机侧）-1;机械臂总装B-1/J3交叉滚子轴承外圈限位固定件-1;机械臂总装B-1/J3电机定子固定件-1,left_j2_link_co,left_j2_axis,left_j2,revolute,-0.32331,0.14661,-0.10085,0,0,0,left_j1_link,0,0,-1,0,0,-3.15,3.15,,,,,,,,
left_j3_link,-0.00028287,-9.33E-05,-0.060638,0,0,0,0.42225,0.0010976,4.686E-05,-3.62E-06,0.0014214,-1.34E-06,0.00073219,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_j3_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_j3_link.STL,,机械臂总装B-1/末端差速器保护壳-1;机械臂总装B-1/J3J4连接加工件-1;机械臂总装B-1/末端差速器侧板-2;机械臂总装B-1/末端差速器侧板-1;机械臂总装B-1/末端差速器保护壳-2;机械臂总装B-1/六面连接块M3x8-H8x22-2;机械臂总装B-1/六面连接块M3x8-H8x22-4;机械臂总装B-1/六面连接块M3x8-H8x22-1;机械臂总装B-1/六面连接块M3x8-H8x22-3,left_j3_link_co,left_j3_axis,left_j3,revolute,0.1565,-0.0012269,-0.0365,3.1338,1.5708,0,left_j2_link,0,0,-1,0,0,-3.15,3.15,,,,,,,,
left_j4_link,0.025819,-0.00027313,-0.055969,0,0,0,0.23849,0.00017517,3.1E-07,3E-08,0.00014632,0,0.00010336,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_j4_link.STL,1,1,1,1,0,0,0,0,0,0,package://rm26_version2_engineering_model/meshes/left_j4_link.STL,,机械臂总装B-1/差速器固定侧板-2;机械臂总装B-1/差速器固定侧板-1;机械臂总装B-1/差速器链接正板-1;机械臂总装B-1/末端差速器轴承法兰限位-1,left_j4_link_co,left_j4_axis,left_j4,revolute,0.056,0,-0.112,-1.5708,1.563,-1.5708,left_j3_link,0,0,-1,0,0,-1.5708,1.5708,,,,,,,,
